"filename", "language", "JavaScript JSX", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/category/interfaces/category.interface.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/outlet/interfaces/outlet.interface.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/outlet/outlet.initialstate.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/outlet/outlet.selector.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/outlet/outlet.slice.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/outlet/outlet.thunk.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/interfaces/api-response.interface.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/interfaces/product.interface.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/interfaces/user.interface.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/routes/ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/routes/PublicRoute.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 5, 20
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/services/auth.service.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 51, 28, 113
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/services/base.service.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 114
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/services/brand.service.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/services/category.service.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 28
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/services/outlet.service.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 32
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/services/product.service.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 37
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/services/user.service.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 20
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/BrandCard.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/components/BrandsHero.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
